task,metric,stage_transition,pdk,value,kind,src_line
Interconnect length (u m),MAPE TOP5,floorplan to detailed route,SKY130,Estimated wirelength is not available\\ as cells have not been placed yet,VOID,29
Interconnect length (u m),MAPE TOP5,floorplan to detailed route,IHP130,Estimated wirelength is not available\\ as cells have not been placed yet,VOID,29
Interconnect length (u m),MAPE TOP5,floorplan to detailed route,ASAP7,Estimated wirelength is not available\\ as cells have not been placed yet,VOID,29
Interconnect length (u m),MAPE TOP5,global place to detailed route,NG45,24.45 %,VAL,29
Interconnect length (u m),MAPE TOP5,global place to detailed route,SKY130,25.39 %,VAL,29
Interconnect length (u m),MAPE TOP5,global place to detailed route,IHP130,19.20 %,VAL,29
Interconnect length (u m),MAPE TOP5,global place to detailed route,ASAP7,18.59 %,VAL,29
Interconnect length (u m),MAPE TOP5,detailed place to detailed route,NG45,23.99 %,VAL,29
Interconnect length (u m),MAPE TOP5,detailed place to detailed route,SKY130,24.99 %,VAL,29
Interconnect length (u m),MAPE TOP5,detailed place to detailed route,IHP130,18.51 %,VAL,29
Interconnect length (u m),MAPE TOP5,detailed place to detailed route,ASAP7,18.19 %,VAL,29
Interconnect length (u m),MAPE TOP5,CTS to detailed route,NG45,24.18 %,VAL,29
Interconnect length (u m),MAPE TOP5,CTS to detailed route,SKY130,25.04 %,VAL,29
Interconnect length (u m),MAPE TOP5,CTS to detailed route,IHP130,18.56 %,VAL,29
Interconnect length (u m),MAPE TOP5,CTS to detailed route,ASAP7,19.03 %,VAL,29
Interconnect length (u m),MAPE TOP5,global route to detailed route,NG45,24.12 %,VAL,29
Interconnect length (u m),MAPE TOP5,global route to detailed route,SKY130,24.74 %,VAL,29
Interconnect length (u m),MAPE TOP5,global route to detailed route,IHP130,18.49 %,VAL,29
Interconnect length (u m),MAPE TOP5,global route to detailed route,ASAP7,18.90 %,VAL,29
Worst Arrival Time (ns),MAE,floorplan to detailed route,NG45,3.10,VAL,30
Worst Arrival Time (ns),MAE,floorplan to detailed route,SKY130,10.84,VAL,30
Worst Arrival Time (ns),MAE,floorplan to detailed route,IHP130,8.55,VAL,30
Worst Arrival Time (ns),MAE,floorplan to detailed route,ASAP7,0.09,VAL,30
Worst Arrival Time (ns),MAE,global place to detailed route,NG45,0.16,VAL,30
Worst Arrival Time (ns),MAE,global place to detailed route,SKY130,0.77,VAL,30
Worst Arrival Time (ns),MAE,global place to detailed route,IHP130,0.41,VAL,30
Worst Arrival Time (ns),MAE,global place to detailed route,ASAP7,0.06,VAL,30
Worst Arrival Time (ns),MAE,detailed place to detailed route,NG45,0.13,VAL,30
Worst Arrival Time (ns),MAE,detailed place to detailed route,SKY130,1.21,VAL,30
Worst Arrival Time (ns),MAE,detailed place to detailed route,IHP130,0.34,VAL,30
Worst Arrival Time (ns),MAE,detailed place to detailed route,ASAP7,0.06,VAL,30
Worst Arrival Time (ns),MAE,CTS to detailed route,NG45,0.01,VAL,30
Worst Arrival Time (ns),MAE,CTS to detailed route,SKY130,0.14,VAL,30
Worst Arrival Time (ns),MAE,CTS to detailed route,IHP130,0.06,VAL,30
Worst Arrival Time (ns),MAE,CTS to detailed route,ASAP7,0.01,VAL,30
Worst Arrival Time (ns),MAE,global route to detailed route,NG45,0.00,VAL,30
Worst Arrival Time (ns),MAE,global route to detailed route,SKY130,0.00,VAL,30
Worst Arrival Time (ns),MAE,global route to detailed route,IHP130,0.00,VAL,30
Worst Arrival Time (ns),MAE,global route to detailed route,ASAP7,0.00,VAL,30
Worst Arrival Time (ns),MAPE,floorplan to detailed route,NG45,192.92 %,VAL,31
Worst Arrival Time (ns),MAPE,floorplan to detailed route,SKY130,183.71 %,VAL,31
Worst Arrival Time (ns),MAPE,floorplan to detailed route,IHP130,331.31 %,VAL,31
Worst Arrival Time (ns),MAPE,floorplan to detailed route,ASAP7,15.78 %,VAL,31
Worst Arrival Time (ns),MAPE,global place to detailed route,NG45,16.19 %,VAL,31
Worst Arrival Time (ns),MAPE,global place to detailed route,SKY130,21.48 %,VAL,31
Worst Arrival Time (ns),MAPE,global place to detailed route,IHP130,16.98 %,VAL,31
Worst Arrival Time (ns),MAPE,global place to detailed route,ASAP7,11.17 %,VAL,31
